InvoiceNo,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,Revenue,Year,Month
541500,18041.0,United Kingdom,22489,PACK OF 12 TRADITIONAL CRAYONS,24,0.42,10.08,2011,1
569827,13591.0,United Kingdom,22950,36 DOILIES VINTAGE CHRISTMAS,12,1.45,17.4,2011,10
543370,12359.0,Cyprus,22626,BLACK KITCHEN SCALES,2,8.5,17.0,2011,2
560273,14895.0,United Kingdom,23209,LUNCH BAG DOILEY PATTERN ,10,1.65,16.5,2011,7
556408,13533.0,United Kingdom,21902,"KEY FOB , FRONT  DOOR ",1,0.65,0.65,2011,6
539764,14533.0,United Kingdom,20704,MR ROBOT SOFT TOY,8,1.95,15.6,2010,12
569898,,United Kingdom,21128,GOLD FISHING GNOME,1,12.46,12.46,2011,10
564137,15722.0,United Kingdom,21174,POTTERING IN THE SHED METAL SIGN,10,2.08,20.8,2011,8
560824,17935.0,United Kingdom,20828,GLITTER BUTTERFLY CLIPS,6,2.55,15.299999999999999,2011,7
537224,13174.0,United Kingdom,84375,SET OF 20 KIDS COOKIE CUTTERS,2,2.1,4.2,2010,12
574561,,United Kingdom,22660,DOORMAT I LOVE LONDON,1,15.79,15.79,2011,11
540468,,United Kingdom,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1,5.91,5.91,2011,1
569369,15105.0,United Kingdom,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,12,1.65,19.799999999999997,2011,10
571067,16793.0,United Kingdom,22941,CHRISTMAS LIGHTS 10 REINDEER,2,8.5,17.0,2011,10
542303,12539.0,Spain,22448,PIN CUSHION BABUSHKA RED,6,3.35,20.1,2011,1
561332,13492.0,Switzerland,22311,OFFICE MUG WARMER BLACK+SILVER ,6,2.95,17.700000000000003,2011,7
536592,,United Kingdom,21789,KIDS RAIN MAC PINK,2,1.66,3.32,2010,12
540848,,United Kingdom,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,4.21,4.21,2011,1
573405,13822.0,United Kingdom,21400,RED PUDDING SPOON,6,0.12,0.72,2011,10
574678,13365.0,United Kingdom,23173,REGENCY TEAPOT ROSES ,2,9.95,19.9,2011,11
563745,15159.0,United Kingdom,23204,CHARLOTTE BAG APPLES DESIGN,20,0.85,17.0,2011,8
540976,12652.0,France,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2.95,17.700000000000003,2011,1
550499,,United Kingdom,35911A,MULTICOLOUR RABBIT EGG WARMER,4,0.83,3.32,2011,4
564483,14050.0,United Kingdom,84692,BOX OF 24 COCKTAIL PARASOLS,25,0.42,10.5,2011,8
580956,17841.0,United Kingdom,20982,12 PENCILS TALL TUBE SKULLS,1,0.85,0.85,2011,12
539991,,United Kingdom,21629,SQUARE FLOOR CUSHION VINTAGE RED,1,7.95,7.95,2010,12
566301,16474.0,United Kingdom,22384,LUNCH BAG PINK POLKADOT,3,1.65,4.949999999999999,2011,9
569331,16875.0,United Kingdom,22385,JUMBO BAG SPACEBOY DESIGN,10,2.08,20.8,2011,10
570191,12778.0,Netherlands,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,0.55,13.200000000000001,2011,10
566290,14456.0,United Kingdom,51014L,"FEATHER PEN,LIGHT PINK",1,0.39,0.39,2011,9
568706,14911.0,EIRE,23111,PARISIENNE SEWING BOX,1,12.5,12.5,2011,9
581098,14911.0,EIRE,23326,HANGING MINI COLOURED BOTTLES,48,0.63,30.240000000000002,2011,12
553852,15599.0,United Kingdom,85017B,ENVELOPE 50 BLOSSOM IMAGES,12,0.42,5.04,2011,5
569364,13167.0,United Kingdom,22689,DOORMAT MERRY CHRISTMAS RED ,1,8.25,8.25,2011,10
537781,17341.0,United Kingdom,84991,60 TEATIME FAIRY CAKE CASES,1,0.55,0.55,2010,12
571032,13827.0,United Kingdom,22224,WHITE LOVEBIRD LANTERN,2,2.95,5.9,2011,10
560025,18283.0,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2.95,2.95,2011,7
576617,,United Kingdom,21786,POLKADOT RAIN HAT ,2,0.83,1.66,2011,11
560249,17571.0,United Kingdom,23077,DOUGHNUT LIP GLOSS ,20,1.25,25.0,2011,7
572758,,United Kingdom,22671,FRENCH LAUNDRY SIGN BLUE METAL,1,3.29,3.29,2011,10
579472,13521.0,United Kingdom,22620,4 TRADITIONAL SPINNING TOPS,1,1.45,1.45,2011,11
561204,12836.0,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2.95,5.9,2011,7
565386,17997.0,United Kingdom,21745,GAOLERS KEYS DECORATIVE GARDEN ,24,3.39,81.36,2011,9
544798,17063.0,United Kingdom,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,6,2.95,17.700000000000003,2011,2
541509,13263.0,United Kingdom,22639,SET OF 4 NAPKIN CHARMS HEARTS,2,2.55,5.1,2011,1
578702,15382.0,United Kingdom,23188,VINTAGE  2 METRE FOLDING RULER,12,1.65,19.799999999999997,2011,11
550471,,United Kingdom,35095B,RED VICTORIAN FABRIC OVAL BOX,1,0.83,0.83,2011,4
550034,16187.0,United Kingdom,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,0.29,6.959999999999999,2011,4
579165,13389.0,United Kingdom,35095A,BLUE VICTORIAN FABRIC OVAL BOX,24,0.42,10.08,2011,11
565122,13069.0,United Kingdom,23322,LARGE WHITE HEART OF WICKER,2,2.95,5.9,2011,9
580501,14546.0,United Kingdom,23100,SILVER BELLS TABLE DECORATION,2,1.25,2.5,2011,12
575477,,United Kingdom,23522,WALL ART DOG AND BALL ,2,5.79,11.58,2011,11
571039,16121.0,United Kingdom,21819,GLITTER CHRISTMAS STAR ,3,0.39,1.17,2011,10
566495,15529.0,United Kingdom,23265,SET OF 3 WOODEN TREE DECORATIONS,1,1.25,1.25,2011,9
572753,15856.0,United Kingdom,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2.95,17.700000000000003,2011,10
538071,,United Kingdom,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,5.91,5.91,2010,12
545721,15039.0,United Kingdom,22067,CHOC TRUFFLE GOLD TRINKET POT ,4,1.65,6.6,2011,3
540832,,United Kingdom,21238,RED RETROSPOT CUP,2,1.63,3.26,2011,1
539444,14146.0,United Kingdom,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,1.25,15.0,2010,12
537638,,United Kingdom,22846,BREAD BIN DINER STYLE RED ,1,34.0,34.0,2010,12
572095,15511.0,United Kingdom,20717,STRAWBERRY SHOPPER BAG,3,1.25,3.75,2011,10
569983,17231.0,United Kingdom,23315,IVORY REFECTORY CLOCK,1,9.95,9.95,2011,10
569898,,United Kingdom,22139,RETROSPOT TEA SET CERAMIC 11 PC ,2,10.79,21.58,2011,10
574592,14820.0,United Kingdom,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10,0.79,7.9,2011,11
547785,13097.0,United Kingdom,37370,RETRO COFFEE MUGS ASSORTED,6,1.25,7.5,2011,3
580865,17914.0,United Kingdom,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,3.25,3.25,2011,12
559052,,United Kingdom,22460,EMBOSSED GLASS TEALIGHT HOLDER,2,2.46,4.92,2011,7
555876,15799.0,United Kingdom,51014A,"FEATHER PEN,HOT PINK",24,0.39,9.36,2011,6
546780,12435.0,Denmark,22467,GUMBALL COAT RACK,144,2.1,302.40000000000003,2011,3
563443,12641.0,Sweden,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,6,2.55,15.299999999999999,2011,8
568382,13499.0,United Kingdom,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,0.29,6.959999999999999,2011,9
557975,15981.0,United Kingdom,23207,LUNCH BAG ALPHABET DESIGN,20,1.65,33.0,2011,6
579002,14093.0,United Kingdom,22208,WOOD STAMP SET THANK YOU,1,0.83,0.83,2011,11
554072,13555.0,United Kingdom,21688,SILVER PLATE CANDLE BOWL SMALL,6,2.95,17.700000000000003,2011,5
551398,12417.0,Spain,37500,TEA TIME TEAPOT IN GIFT BOX,12,4.95,59.400000000000006,2011,4
576667,12963.0,United Kingdom,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,4.95,14.850000000000001,2011,11
552286,16393.0,United Kingdom,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5,2.08,10.4,2011,5
558571,17017.0,United Kingdom,22197,POPCORN HOLDER,100,0.72,72.0,2011,6
548511,14056.0,United Kingdom,22845,VINTAGE CREAM CAT FOOD CONTAINER,5,6.35,31.75,2011,3
550473,14623.0,United Kingdom,21468,BUTTERFLY CROCHET FOOD COVER,1,3.75,3.75,2011,4
555410,16239.0,United Kingdom,84836,ZINC METAL HEART DECORATION,12,1.25,15.0,2011,6
578757,12748.0,United Kingdom,22313,OFFICE MUG WARMER PINK,1,2.95,2.95,2011,11
536592,,United Kingdom,21821,GLITTER STAR GARLAND WITH BELLS ,1,7.62,7.62,2010,12
569835,15518.0,United Kingdom,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,4.25,12.75,2011,10
571280,18122.0,United Kingdom,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2,3.25,6.5,2011,10
575138,,United Kingdom,22692,DOORMAT WELCOME TO OUR HOME,1,16.63,16.63,2011,11
541421,,United Kingdom,84596J,MIXED NUTS LIGHT GREEN BOWL,1,0.83,0.83,2011,1
574079,17595.0,United Kingdom,23191,BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,11
578244,15727.0,United Kingdom,23474,WOODLAND SMALL BLUE FELT HEART,10,0.83,8.299999999999999,2011,11
580997,15023.0,United Kingdom,21908,CHOCOLATE THIS WAY METAL SIGN,3,2.1,6.300000000000001,2011,12
548780,13294.0,United Kingdom,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,19.5,2011,4
538884,,United Kingdom,21192,WHITE BELL HONEYCOMB PAPER ,1,3.36,3.36,2010,12
579777,,United Kingdom,23219,LAUREL STAR ANTIQUE SILVER ,2,2.46,4.92,2011,11
548498,16681.0,United Kingdom,22659,LUNCH BOX I LOVE LONDON,12,1.95,23.4,2011,3
566734,16910.0,United Kingdom,20977,36 PENCILS TUBE WOODLAND,1,1.25,1.25,2011,9
565427,17774.0,United Kingdom,22629,SPACEBOY LUNCH BOX ,1,1.95,1.95,2011,9
580887,13755.0,United Kingdom,21287,SCENTED VELVET LOUNGE CANDLE ,12,0.38,4.5600000000000005,2011,12
562024,,United Kingdom,22124,SET OF 2 TEA TOWELS PING MICROWAVE,3,2.46,7.38,2011,8
577286,14606.0,United Kingdom,23075,PARLOUR CERAMIC WALL HOOK,1,4.15,4.15,2011,11
542625,,United Kingdom,21679,SKULLS  STICKERS,6,1.63,9.78,2011,1
546419,16693.0,United Kingdom,21469,POLKA DOT RAFFIA FOOD COVER,3,3.75,11.25,2011,3
539736,,United Kingdom,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,8.47,8.47,2010,12
578032,16633.0,United Kingdom,23037,CANDLE HOLDER SILVER MADELINE,12,1.65,19.799999999999997,2011,11
574074,,United Kingdom,22600,CHRISTMAS RETROSPOT STAR WOOD,1,1.63,1.63,2011,11
579675,15654.0,United Kingdom,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,14.850000000000001,2011,11
546642,12779.0,Poland,37448,CERAMIC CAKE DESIGN SPOTTED MUG,24,1.49,35.76,2011,3
549564,18129.0,United Kingdom,22115,METAL SIGN EMPIRE TEA,1,2.95,2.95,2011,4
544115,12727.0,France,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,15.299999999999999,2011,2
538660,15808.0,United Kingdom,21479,WHITE SKULL HOT WATER BOTTLE ,12,3.75,45.0,2010,12
579143,13882.0,United Kingdom,23491,VINTAGE JINGLE BELLS HEART,4,8.25,33.0,2011,11
581192,15883.0,United Kingdom,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,3.25,3.25,2011,12
536368,13047.0,United Kingdom,22912,YELLOW COAT RACK PARIS FASHION,3,4.95,14.850000000000001,2010,12
570680,13969.0,United Kingdom,35970,ZINC FOLKART SLEIGH BELLS,12,1.69,20.28,2011,10
580891,17481.0,United Kingdom,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2.95,17.700000000000003,2011,12
565117,13089.0,United Kingdom,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,30.0,2011,9
569555,17728.0,United Kingdom,23418,LAVENDER TOILETTE BOTTLE,12,2.08,24.96,2011,10
562127,13717.0,United Kingdom,22461,SAVOY ART DECO CLOCK,6,3.95,23.700000000000003,2011,8
574561,,United Kingdom,21207,SKULL AND CROSSBONES  GARLAND ,1,1.63,1.63,2011,11
561024,12916.0,United Kingdom,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,12,2.1,25.200000000000003,2011,7
566040,12540.0,Spain,21877,HOME SWEET HOME MUG,12,1.65,19.799999999999997,2011,9
551729,12720.0,Germany,20712,JUMBO BAG WOODLAND ANIMALS,10,2.08,20.8,2011,5
560856,16607.0,United Kingdom,22093,MOTORING TISSUE BOX,36,0.39,14.040000000000001,2011,7
579555,16241.0,United Kingdom,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,1,0.55,0.55,2011,11
576779,14554.0,United Kingdom,23198,PANTRY MAGNETIC  SHOPPING LIST,3,1.45,4.35,2011,11
569562,12720.0,Germany,POST,POSTAGE,3,18.0,54.0,2011,10
537464,14907.0,United Kingdom,22866,HAND WARMER SCOTTY DOG DESIGN,24,2.1,50.400000000000006,2010,12
551339,,United Kingdom,21385,IVORY HANGING DECORATION  HEART,1,1.63,1.63,2011,4
580632,16360.0,United Kingdom,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,4,1.45,5.8,2011,12
556042,14367.0,United Kingdom,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,3,2.95,8.850000000000001,2011,6
538880,,United Kingdom,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,11.02,11.02,2010,12
580054,18122.0,United Kingdom,21872,GLAMOROUS  MUG,1,1.25,1.25,2011,12
579332,14408.0,United Kingdom,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,1.25,15.0,2011,11
567853,15484.0,United Kingdom,23157,SET OF 6 NATIVITY MAGNETS ,12,2.08,24.96,2011,9
576920,13871.0,United Kingdom,21485,RETROSPOT HEART HOT WATER BOTTLE,3,4.95,14.850000000000001,2011,11
550159,14062.0,United Kingdom,82600,NO SINGING METAL SIGN,48,1.85,88.80000000000001,2011,4
545004,13753.0,United Kingdom,22585,PACK OF 6 BIRDY GIFT TAGS,12,1.25,15.0,2011,2
553034,17970.0,United Kingdom,22421,LIPSTICK PEN FUSCHIA,50,0.42,21.0,2011,5
553556,17530.0,United Kingdom,85049C,ROMANTIC PINKS RIBBONS ,2,1.25,2.5,2011,5
571841,17625.0,United Kingdom,22367,CHILDRENS APRON SPACEBOY DESIGN,3,1.95,5.85,2011,10
575751,14911.0,EIRE,23298,SPOTTY BUNTING,12,4.95,59.400000000000006,2011,11
560701,16729.0,United Kingdom,22659,LUNCH BOX I LOVE LONDON,5,1.95,9.75,2011,7
549730,15867.0,United Kingdom,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1,2.95,2.95,2011,4
562517,15719.0,United Kingdom,20724,RED RETROSPOT CHARLOTTE BAG,4,0.85,3.4,2011,8
556433,,United Kingdom,22666,RECIPE BOX PANTRY YELLOW DESIGN,4,6.63,26.52,2011,6
580872,18283.0,United Kingdom,85099F,JUMBO BAG STRAWBERRY,3,2.08,6.24,2011,12
554714,,United Kingdom,21558,SKULL LUNCH BOX WITH CUTLERY ,1,4.96,4.96,2011,5
562553,,United Kingdom,22961,JAM MAKING SET PRINTED,1,3.29,3.29,2011,8
541877,12559.0,Germany,POST,POSTAGE,2,18.0,36.0,2011,1
580610,,United Kingdom,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,3,5.79,17.37,2011,12
537041,16033.0,United Kingdom,22956,36 FOIL HEART CAKE CASES,1,2.1,2.1,2010,12
539735,,United Kingdom,21916,SET 12 RETRO WHITE CHALK STICKS,1,0.81,0.81,2010,12
573023,13882.0,United Kingdom,22342,HOME GARLAND PAINTED ZINC ,24,0.75,18.0,2011,10
544194,16839.0,United Kingdom,22961,JAM MAKING SET PRINTED,96,1.25,120.0,2011,2
541207,17685.0,United Kingdom,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2.95,35.400000000000006,2011,1
558881,12705.0,Germany,20726,LUNCH BAG WOODLAND,10,1.65,16.5,2011,7
561898,12456.0,Switzerland,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,8.95,17.9,2011,7
561507,12397.0,Belgium,23209,LUNCH BAG DOILEY PATTERN ,10,1.65,16.5,2011,7
555537,15453.0,United Kingdom,22839,3 TIER CAKE TIN GREEN AND CREAM,1,14.95,14.95,2011,6
550183,14105.0,United Kingdom,22974,CHILDRENS DOLLY GIRL MUG,6,1.65,9.899999999999999,2011,4
553182,17107.0,United Kingdom,48194,DOORMAT HEARTS,10,6.75,67.5,2011,5
554549,12747.0,United Kingdom,22425,ENAMEL COLANDER CREAM,3,4.95,14.850000000000001,2011,5
544685,13285.0,United Kingdom,22781,GUMBALL MAGAZINE RACK,2,7.65,15.3,2011,2
578687,14703.0,United Kingdom,23433,HANGING QUILTED PATCHWORK APPLES,12,0.83,9.959999999999999,2011,11
540848,,United Kingdom,21448,12 DAISY PEGS IN WOOD BOX,1,3.36,3.36,2011,1
546117,16771.0,United Kingdom,20754,RETROSPOT RED WASHING UP GLOVES,2,2.1,4.2,2011,3
579187,,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3,4.96,14.879999999999999,2011,11
579196,14096.0,United Kingdom,21155,RED RETROSPOT PEG BAG,1,4.96,4.96,2011,11
554363,12647.0,Germany,POST,POSTAGE,2,18.0,36.0,2011,5
565397,14171.0,United Kingdom,21899,GARAGE KEY FOB,1,0.65,0.65,2011,9
559817,,United Kingdom,22663,JUMBO BAG DOLLY GIRL DESIGN,3,2.46,7.38,2011,7
556513,,United Kingdom,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,4.13,12.39,2011,6
564843,15866.0,United Kingdom,21135,VICTORIAN  METAL POSTCARD SPRING,1,1.69,1.69,2011,8
548737,12682.0,France,22087,PAPER BUNTING WHITE LACE,6,2.95,17.700000000000003,2011,4
577748,15159.0,United Kingdom,23356,LOVE HOT WATER BOTTLE,24,4.95,118.80000000000001,2011,11
547248,,United Kingdom,90000B,MIDNIGHT BLUE COPPER FLOWER NECKLAC,1,6.23,6.23,2011,3
537034,13081.0,United Kingdom,84006,MAGIC TREE -PAPER FLOWERS,36,0.85,30.599999999999998,2010,12
556429,,United Kingdom,21930,JUMBO STORAGE BAG SKULLS,4,4.96,19.84,2011,6
569144,17227.0,United Kingdom,22908,PACK OF 20 NAPKINS RED APPLES,3,0.85,2.55,2011,9
578041,17338.0,United Kingdom,23217,LAUREL HEART ANTIQUE SILVER,5,1.25,6.25,2011,11
547721,13000.0,United Kingdom,21402,RED  EGG  SPOON,24,0.12,2.88,2011,3
565737,16400.0,United Kingdom,22567,20 DOLLY PEGS RETROSPOT,2,1.45,2.9,2011,9
543277,15808.0,United Kingdom,84050,PINK HEART SHAPE EGG FRYING PAN,4,1.65,6.6,2011,2
559055,,United Kingdom,21328,BALLOONS  WRITING SET ,15,0.83,12.45,2011,7
537154,15808.0,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2.95,2.95,2010,12
543235,14462.0,United Kingdom,21877,HOME SWEET HOME MUG,2,1.25,2.5,2011,2
569571,16684.0,United Kingdom,22651,GENTLEMAN SHIRT REPAIR KIT ,144,0.72,103.67999999999999,2011,10
580730,,United Kingdom,23209,LUNCH BAG VINTAGE DOILY ,1,4.13,4.13,2011,12
544677,18196.0,United Kingdom,16015,MEDIUM CHINESE STYLE SCISSOR,1,0.5,0.5,2011,2
552572,14680.0,United Kingdom,20727,LUNCH BAG  BLACK SKULL.,20,1.65,33.0,2011,5
569037,13263.0,United Kingdom,22558,CLOTHES PEGS RETROSPOT PACK 24 ,3,1.65,4.949999999999999,2011,9
548373,,United Kingdom,21902,"KEY FOB , FRONT  DOOR ",1,1.63,1.63,2011,3
552170,16458.0,United Kingdom,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.55,15.299999999999999,2011,5
550288,17367.0,United Kingdom,22454,MEASURING TAPE BABUSHKA RED,3,2.95,8.850000000000001,2011,4
579100,13004.0,United Kingdom,21790,VINTAGE SNAP CARDS,12,0.85,10.2,2011,11
571475,15033.0,United Kingdom,22295,HEART FILIGREE DOVE LARGE,1,1.65,1.65,2011,10
576540,18043.0,United Kingdom,21739,COSY SLIPPER SHOES SMALL GREEN,1,2.95,2.95,2011,11
538199,14082.0,United Kingdom,22899,CHILDREN'S APRON DOLLY GIRL ,5,2.1,10.5,2010,12
552281,15704.0,United Kingdom,22841,ROUND CAKE TIN VINTAGE GREEN,3,7.95,23.85,2011,5
573994,17135.0,United Kingdom,22599,CHRISTMAS MUSICAL ZINC STAR,72,0.29,20.88,2011,11
548208,14189.0,United Kingdom,82581,TOILET METAL SIGN,12,0.55,6.6000000000000005,2011,3
574292,16914.0,United Kingdom,23438, RED SPOT GIFT BAG LARGE,40,1.25,50.0,2011,11
541875,16558.0,United Kingdom,22708,WRAP DOLLY GIRL,25,0.42,10.5,2011,1
547058,14232.0,United Kingdom,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,1.25,15.0,2011,3
579440,14388.0,United Kingdom,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,4.15,24.900000000000002,2011,11
548198,16712.0,United Kingdom,21716,BOYS VINTAGE TIN SEASIDE BUCKET,3,2.55,7.6499999999999995,2011,3
562543,13552.0,United Kingdom,23297,SET 40 HEART SHAPE PETIT FOUR CASES,12,1.65,19.799999999999997,2011,8
565807,14334.0,United Kingdom,22507,MEMO BOARD RETROSPOT  DESIGN,4,4.95,19.8,2011,9
564742,17346.0,United Kingdom,23330,DECORATIVE WICKER HEART MEDIUM,1,1.25,1.25,2011,8
575930,,United Kingdom,21284,RETROSPOT CANDLE  SMALL,1,3.29,3.29,2011,11
561471,14911.0,EIRE,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,30.0,2011,7
562158,15039.0,United Kingdom,22090,PAPER BUNTING RETROSPOT,12,2.95,35.400000000000006,2011,8
547960,15644.0,United Kingdom,22729,ALARM CLOCK BAKELIKE ORANGE,1,3.75,3.75,2011,3
555276,,United Kingdom,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,1,1.63,1.63,2011,6
571081,16775.0,United Kingdom,22470,HEART OF WICKER LARGE,4,2.95,11.8,2011,10
550622,13735.0,United Kingdom,22606,WOODEN SKITTLES GARDEN SET,1,15.95,15.95,2011,4
575718,16907.0,United Kingdom,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,1,1.65,1.65,2011,11
550499,,United Kingdom,22248,DECORATION  PINK CHICK MAGIC GARDEN,1,1.63,1.63,2011,4
568245,13867.0,United Kingdom,23349,ROLL WRAP VINTAGE CHRISTMAS,12,1.25,15.0,2011,9
